iter	Passed	Remaining
414	2940	4144
415	2946	4136
416	2956	4133
417	2963	4126
418	2967	4114
419	2971	4103
420	2975	4092
421	2981	4084
422	2983	4070
423	2989	4061
424	2994	4051
425	3000	4042
426	3007	4036
427	3013	4026
428	3018	4017
429	3022	4005
430	3028	3998
431	3036	3991
432	3042	3984
433	3047	3974
434	3052	3964
435	3060	3958
436	3065	3949
437	3073	3943
438	3077	3933
439	3081	3921
440	3085	3911
441	3093	3904
442	3098	3895
443	3106	3889
444	3112	3882
445	3120	3876
446	3127	3869
447	3131	3857
448	3138	3851
449	3142	3840
450	3147	3831
451	3159	3830
452	3166	3823
453	3171	3814
454	3178	3806
455	3185	3799
456	3190	3790
457	3196	3782
458	3200	3772
459	3208	3766
460	3217	3761
461	3221	3751
462	3226	3742
463	3233	3734
464	3240	3728
465	3248	3722
466	3257	3717
467	3263	3709
468	3273	3706
469	3279	3697
470	3283	3687
471	3290	3680
472	3297	3673
473	3305	3668
474	3312	3660
475	3319	3654
476	3325	3646
477	3333	3640
478	3337	3629
479	3343	3622
480	3350	3615
481	3353	3603
482	3360	3596
483	3368	3590
484	3372	3581
485	3379	3574
486	3385	3566
487	3395	3562
488	3400	3553
489	3406	3545
490	3411	3536
491	3416	3527
492	3424	3522
493	3432	3516
494	3444	3514
495	3454	3510
496	3464	3505
497	3471	3499
498	3481	3494
499	3488	3488
500	3493	3479
501	3498	3470
502	3507	3465
503	3512	3457
504	3517	3448
505	3526	3443
506	3537	3440
507	3545	3433
508	3553	3428
509	3559	3419
510	3563	3410
511	3570	3403
512	3577	3396
513	3585	3389
514	3592	3383
515	3600	3377
516	3605	3368
517	3610	3359
518	3615	3350
519	3621	3343
520	3627	3335
521	3631	3325
522	3641	3321
523	3646	3312
524	3656	3308
525	3662	3300
526	3665	3290
527	3671	3282
528	3679	3275
529	3685	3268
530	3691	3260
531	3699	3254
532	3704	3246
533	3712	3239
534	3715	3229
535	3721	3221
536	3729	3215
537	3732	3205
538	3737	3196
539	3742	3188
540	3745	3178
541	3751	3169
542	3758	3163
543	3765	3156
544	3773	3150
545	3781	3144
546	3788	3137
547	3792	3127
548	3802	3123
549	3808	3116
550	3815	3108
551	3823	3103
552	3826	3093
553	3834	3087
554	3840	3079
555	3848	3073
556	3856	3066
557	3862	3059
558	3867	3051
559	3872	3042
560	3880	3036
561	3886	3028
562	3892	3021
563	3898	3013
564	3907	3008
565	3915	3002
566	3923	2996
567	3930	2989
568	3937	2982
569	3941	2973
570	3950	2968
571	3957	2961
572	3963	2953
573	3972	2947
574	3975	2938
575	3983	2932
576	3988	2923
577	3991	2914
578	3999	2908
579	4006	2900
580	4009	2891
581	4013	2882
582	4018	2874
583	4025	2867
584	4031	2859
585	4039	2853
586	4048	2848
587	4053	2840
588	4059	2832
589	4064	2824
590	4068	2815
591	4075	2808
592	4081	2801
593	4088	2794
594	4097	2788
595	4101	2780
596	4108	2773
597	4114	2766
598	4118	2756
599	4122	2748
600	4130	2741
601	4133	2732
602	4141	2726
603	4146	2718
604	4152	2711
605	4158	2703
606	4165	2697
607	4176	2693
608	4188	2689
609	4193	2680
610	4200	2674
611	4207	2667
612	4216	2661
613	4224	2655
614	4229	2647
615	4235	2640
616	4241	2632
617	4244	2623
618	4250	2616
619	4254	2607
620	4262	2601
621	4268	2594
622	4279	2589
623	4289	2584
624	4293	2576
625	4299	2568
626	4308	2562
627	4314	2555
628	4319	2547
629	4328	2542
630	4335	2535
631	4340	2527
632	4349	2521
633	4356	2514
634	4359	2505
635	4361	2496
636	4367	2488
637	4372	2481
638	4377	2473
639	4382	2465
640	4389	2458
641	4397	2452
642	4402	2444
643	4409	2437
644	4413	2429
645	4418	2421
646	4424	2413
647	4429	2406
648	4435	2398
649	4438	2389
650	4444	2382
651	4451	2375
652	4457	2368
653	4463	2361
654	4472	2355
655	4477	2347
656	4483	2340
657	4488	2332
658	4494	2325
659	4503	2320
660	4507	2311
661	4515	2305
662	4524	2299
663	4527	2291
664	4537	2285
665	4543	2278
666	4550	2272
667	4559	2265
668	4564	2258
669	4569	2250
670	4577	2244
671	4583	2237
672	4588	2229
673	4599	2224
674	4604	2217
675	4616	2212
676	4625	2206
677	4633	2200
678	4639	2193
679	4645	2185
680	4650	2178
681	4656	2171
682	4660	2163
683	4666	2155
684	4675	2149
685	4682	2143
686	4687	2135
687	4689	2126
688	4695	2119
689	4699	2111
690	4711	2106
691	4714	2098
692	4723	2092
693	4732	2086
694	4741	2080
695	4748	2074
696	4752	2065
697	4756	2057
698	4760	2050
699	4772	2045
700	4782	2039
701	4789	2033
702	4798	2027
703	4808	2021
704	4815	2014
705	4822	2008
706	4830	2001
707	4838	1995
708	4842	1987
709	4846	1979
710	4854	1973
711	4863	1967
712	4872	1961
713	4882	1955
714	4888	1948
715	4897	1942
716	4907	1937
717	4917	1931
718	4926	1925
719	4933	1918
720	4937	1910
721	4942	1902
722	4946	1895
723	4950	1887
724	4956	1880
725	4962	1872
726	4971	1866
727	4975	1859
728	4985	1853
729	4991	1846
730	5002	1840
731	5007	1833
732	5013	1826
733	5015	1817
734	5020	1810
735	5035	1806
736	5039	1798
737	5048	1792
738	5055	1785
739	5065	1779
740	5070	1772
741	5077	1765
742	5085	1759
743	5090	1751
744	5097	1744
745	5100	1736
746	5107	1729
747	5113	1722
748	5120	1716
749	5128	1709
750	5133	1702
751	5140	1695
752	5144	1687
753	5151	1680
754	5157	1673
755	5162	1666
756	5168	1659
757	5177	1652
758	5183	1646
759	5193	1640
760	5198	1632
761	5208	1626
762	5215	1620
763	5219	1612
764	5227	1605
765	5234	1599
766	5246	1593
767	5257	1588
768	5265	1581
769	5274	1575
770	5280	1568
771	5288	1561
772	5292	1554
773	5300	1547
774	5304	1540
775	5307	1532
776	5314	1525
777	5319	1517
778	5326	1511
779	5335	1504
780	5340	1497
781	5345	1490
782	5351	1483
783	5354	1475
784	5362	1468
785	5372	1462
786	5379	1455
787	5387	1449
788	5392	1442
789	5396	1434
790	5405	1428
791	5410	1420
792	5417	1414
793	5427	1408
794	5430	1400
795	5437	1393
796	5469	1393
797	5472	1385
798	5475	1377
799	5478	1369
800	5481	1361
801	5484	1353
802	5486	1345
803	5488	1338
804	5490	1330
805	5493	1322
806	5496	1314
807	5498	1306
808	5501	1298
809	5504	1291
810	5506	1283
811	5509	1275
812	5511	1267
813	5513	1259
814	5516	1252
815	5518	1244
816	5521	1236
817	5523	1229
818	5526	1221
819	5528	1213
820	5531	1205
821	5533	1198
822	5536	1190
823	5538	1183
824	5540	1175
825	5543	1167
826	5545	1160
827	5548	1152
828	5550	1144
829	5553	1137
830	5555	1129
831	5558	1122
832	5560	1114
833	5562	1107
834	5565	1099
835	5568	1092
836	5570	1084
837	5573	1077
838	5575	1069
839	5578	1062
840	5580	1055
841	5583	1047
842	5585	1040
843	5588	1032
844	5591	1025
845	5594	101852	5661	975
853	5667	968
854	5682	963
855	5691	957
856	5695	950
857	5704	944
858	5717	938
859	5730	932
860	5735	925
861	5743	919
862	5750	912
863	5758	906
864	5761	899
865	5771	893
866	5784	887
867	5790	880
868	5802	874
869	5805	867
870	5815	861
871	5825	855
872	5831	848
873	5833	840
874	5843	834
875	5847	827
876	5858	821
877	5868	815
878	5874	808
879	5882	802
880	5890	795
881	5892	788
882	5900	781
883	5906	775
884	5913	768
885	5921	761
886	5928	755
887	5937	748
888	5946	742
889	5952	735
890	5956	728
891	5967	722
892	5975	716
893	5982	709
894	5986	702
895	5993	695
896	6004	689
897	6017	683
898	6028	677
899	6040	671
900	6048	664
901	6054	657
902	6061	651
903	6068	644
904	6074	637
905	6080	630
906	6084	623
907	6092	617
908	6104	611
909	6109	604
910	6116	597
911	6125	591
912	6129	584
913	6135	577
914	6141	570
915	6146	563
916	6158	557
917	6166	550
918	6172	544
919	6177	537
920	6184	530
921	6191	523
922	6197	517
923	6206	510
924	6214	503
925	6219	497
926	6225	490
927	6231	483
928	6237	476
929	6242	469
930	6247	462
931	6252	456
932	6257	449
933	6264	442
934	6270	435
935	6279	429
936	6284	422
937	6290	415
938	6298	409
939	6304	402
940	6310	395
941	6318	389
942	6325	382
943	6332	375
944	6340	369
945	6348	362
946	6356	355
947	6367	349
948	6374	342
949	6379	335
950	6383	328
951	6387	322
952	6395	315
953	6400	308
954	6408	301
955	6412	295
956	6417	288
957	6423	281
958	6428	274
959	6433	268
960	6438	261
961	6444	254
962	6453	247
963	6457	241
964	6465	234
965	6476	227
966	6494	221
967	6508	215
968	6518	208
969	6531	201
970	6541	195
971	6546	188
972	6551	181
973	6556	175
974	6562	168
975	6575	161
976	6580	154
977	6583	148
978	6589	141
979	6594	134
980	6596	127
981	6598	120
982	6600	114
983	6603	107
984	6605	100
985	6607	93
986	6610	87
987	6612	80
988	6614	73
989	6617	66
990	6619	60
991	6621	53
992	6623	46
993	6625	39
994	6627	33
995	6629	26
996	6631	19
997	6633	13
998	6635	6
999	6637	0
4	0
322	38
994	6331	31
995	6338	25
996	6349	19
997	6356	12
998	6362	6
999	6366	0
